Tool;Kategorie;Beschreibung;Preis;URL
Adobe Audition;Audio;"Cooledit Professional wurde von Adobe aufgekauft und heißt nun Audition.
Neupreis liegt bei ca. 399 US$. 
Wer es günstiger haben will: Das Upgrade von Cooledit 2000 kostet nur 99 US$.";ab 99 US$;<A HREF="http://www.adobe.com">www.adobe.com</A>
CDex;Audio;"Ein Programm zum extrahieren von Musik-CD's direkt ins WAV oder MP3 Format. 
Ein Zugriff auf eine Internet CD Datenbank ist möglich. 
Somit erhalten die Lieder auch direkt den richtigen Namen.";kostenlos;<A HREF="http://cdexos.sourceforge.net/downloads.php">cdexos.sourceforge.net/downloads.php</A>;
CDrun;Audio;"Ein CD-Player für Windows";kostenlos;<A HREF="http://www.amberror.lt/cdrun/cdrun.zip">www.amberror.lt/cdrun/cdrun.zip</A>;
ExactAudioCopy;Audio;"EAC sorgt für sichere Audiokopien,
in dem es die ausgelesenen Daten einer Audio-CD verifiziert.";kostenlos;<A HREF="http://www.exactaudiocopy.de/">www.exactaudiocopy.de/</A>;
CD-R Monitor;CD/DVD;"Ein Programm zum betrachten von allen verfügbaren Informationen eines CD-R(W) Rohlings.";kostenlos;<A HREF="http://www.goedeke.net/cdr_monitor.html">www.goedeke.net/cdr_monitor.html</A>;
Nero;CD/DVD;"Aheads Nero 6 bietet alle Funktionen die man zum Brennen von CD's und DVD's etc. benötigt.
Als OEM Version gibt es diese bei EBAY für unter 10 Euro.";ca. 10 Euro (OEM);<A HREF="http://www.nero.com">www.nero.com</A>;
3D Mark;Grafik;"Ein Grafikkarten Benchmark Test";kostenlos;<A HREF="http://www.madonion.com/download">www.madonion.com/download</A>;
PhotoImpact;Grafik;"Uleads hervorragendes Grafikbearbeitungstool. 
Dieses gibt's hin und wieder in der vorletzten Version für ca. 12 Euro.";ca. 12 Euro (Aldi);<A HREF="http://www.ulead.de">www.ulead.de</A>;
FlashGet;Internet;"Ein Programm mit dem mehrere Downloads für ein und die selbe Datei möglich sind. 
FlashGet öffnet mehrere Verbindungen zur gewünschten Zieldatei und kann so den Download optimieren. 
Bricht die Verbindung ab, so kann FlashGet nach wiederaufnahme der Verbindung 
wieder an der Abbruchstelle weitermachen. 
So muss man nicht den gesamten Download wiederholen.";29.95 US$ (Ältere Versionen sind kostenlos);<A HREF="http://www.amazesoft.com">www.amazesoft.com</A>;
F-Protection;Internet;"Ein hervoragendes Antivirus Paket. 
Dieses gibt's für nur 29 US$ direkt bei FRISK Software in Island";29 US$;<A HREF="http://www.f-prot.com/products/home_use/win/">www.f-prot.com</A>;
Mozilla;Internet;"Wer mit dem Netscape Navigator groß geworden ist
und nun einen stabilen Nachfolger sucht, 
ist mit Mozilla an der richtigen Stelle";kostenlos;<A HREF="http://www.mozilla.org">www.mozilla.org</A>;
WS-FTP;Internet;"Ein einfaches und leicht zu bedienendes FTP Programm. 
Dieses gibt's häufig kostenlos auf Zeitschriften CD's";Nach kostenloser Version suchen;<A HREF="http://www.ipswitch.com">www.ipswitch.com</A>;
ZoneAlarm;Internet;"Die bekannte Firewall gibt es in der Basic Version auch kostenlos für Windows";kostenlos;<A HREF="http://www.zonelabs.com/store/content/company/products/znalm/freeDownload.jsp?lid=zadb_zadown">www.zonelabs.com</A>;
FinePrint;Office;"Spezieller Druckersimulator, welcher als Druckertreiber eingebunden wird. 
Dadurch erhält man eine Voransicht, kann Seiten löschen, bis zu 8 Seiten auf ein Blatt drucken usw.";49,95 US$;<A HREF="http://www.fineprint.com">www.fineprint.com</A>;
Office97;Office;"Das letzte Officepaket, bei dem wirklich noch was Neues bei herum kam. 
Wozu unmengen an Geld für eine aktuelle Version (2000 oder XP) ausgeben, 
wenn man auch hier schon alles findet was man braucht.";Preis schwankt;<A HREF="http://www.microsoft.de">www.microsoft.de</A>;
PDFFactory;Office;"PDF Druckertreiber, welcher es erlaubt aus jedem Programm mit Druckfunktion in eine PDF Datei zu drucken.";49,95 US$;<A HREF="http://www.fineprint.com">www.fineprint.com</A>;
Superior Search;Office;"Ein Durchsuchungsprogramm, welches beliebige Dateien nach Suchbegriffen durchsucht. 
Eine echte Hilfe, wenn man nicht mehr weiß, wo man etwas abgelegt hat.";29,00 US$;<A HREF="http://www.superiorsearch.com">www.superiorsearch.com</A>;
WinZip;Office;"Weit verbreitetes Kompressionsprogramm für das ZIP Format.";29,00 US$;<A HREF="http://www.winzip.com">www.winzip.com</A>;
1st Page;Programmierung;"Ein kostenloser HTML Editor";kostenlos;<A HREF="http://www.evrsoft.com">www.evrsoft.com</A>;
ActiveState Perl;Programmierung;"Ein kostenloser PERL Interpreter für Windows";kostenlos;<A HREF="http://www.activestate.com/Products/ActivePerl/">www.activestate.com</A>;
ActiveState Python;Programmierung;"Ein kostenloser Python Interpreter für Windows";kostenlos;<A HREF="http://www.activestate.com/Products/ActivePython/">www.activestate.com</A>;
C++ Builder 5;Programmierung;"Borlands C++ Entwicklungsumgebung für die Entwicklung von Windowsprogrammen. 
(Alle meine auf dieser Homepage vorgestellten Programme wurden damit entwickelt)";ca. 70 Euro (EBAY);<A HREF="http://www.borland.com/cbuilder">www.borland.com/cbuilder</A>;
C++ BuilderX;Programmierung;"Borlands Hochleistungs-C++-Entwicklungsumgebung gibt es auch in der kostenlosen "Personal". Die IDE läuft auf den Plattformen Windows, Linux und Solaris";kostenlos;<A HREF="http://www.borland.com/cbuilderx">www.borland.com/cbuilderx</A>;
Crimson Editor;Programmierung;"Ein Universal Editor mit Syntax Hervorhebung und vielen anderen Features.";kostenlos;<A HREF="http://www.crimsoneditor.com">www.crimsoneditor.com</A>;
JBuilderX;Programmierung;"Borlands Hochleistungs-Java-Entwicklungsumgebung gibt es auch in der kostenlosen "Personal" oder "Foundation" Version. Die IDE läuft auf den Plattformen Windows, Linux und Solaris";kostenlos;<A HREF="http://www.borland.com/jbuilder">www.borland.com/jbuilder</A>;
Komodo;Programmierung;"Ein universal Editor von ActiveState für alle Scriptsprachen inkl. Perl, Python, JavaScript, XSL etc. Aber auch HTML, XML lässt sich dieser Editor gut nutzen.";39 US$ (Personal Version);<A HREF="http://www.activestate.com/komodo">www.activestate.com/komodo</A>;
Kylix ;Programmierung;"Delphi und C++ Builder für Linux. 
Die Personal Version ist kostenlos.";kostenlos;<A HREF="http://www.borland.com/kylix">www.borland.com/kylix</A>;
Atomic Synchronizer;System;"Synchronisiert auf Knopfdruck die PC Uhr mit einer Atomuhr über das Internet";kostenlos;<A HREF="http://www.mxmtech.biz">www.mxmtech.biz</A>;
ProcessExplorer;System;"Ein Betrachtungsprogramm für Prozesse. 
Wesentlich exakter als der Taskmanager von Windows";kostenlos;<A HREF="http://www.sysinternals.com">www.sysinternals.com</A>;
United Devices;System;"Bildschirmschoner, welcher eine verteilte Rechnung über das Internet erlaubt. 
Dieser Schoner hilft bei der Krebs- und Gegenmittelforschung";kostenlos;<A HREF="http://www.ud.com">www.ud.com</A>;
AsfTools;Video;"Zur Umwandlung von ASF in AVI";kostenlos;<A HREF="http://www.geocities.com/myasftools">www.geocities.com/myasftools</A>;
DivX;Video;"Ein sehr bekannter guter Video-Kompressionsmechanismus";kostenlos;<A HREF="http://www.divx.com">www.divx.com</A>;
DV Codec Demo;Video;"Von MainConcept wird diese Demo bereitgestellt. 
Der DV Codec dekodiert die z.B. von einer Videokamera erzeugten Videos im DV Format. 
Somit kann man seine Videofilme nach AVI oder MPEG konvertieren.";kostenlos;<A HREF="http://www.mainconcept.de">www.mainconcept.de</A>;
DVDShrink;Video;"Ein Programm zum erstellen von DVD Backups. Einfach zu bedienen und kostenlos.";kostenlos;<A HREF="http://www.dvdshrink.org">www.dvdshrink.org</A>;
MPEG Mediator;Video;"Ein einfacher Konverter von DVD VOB Dateien in AVI oder MPEG";kostenlos;<A HREF="http://www.mpeg-mediator.com">www.mpeg-mediator.com</A>;
VirtualDub;Video;"Ein kostenloser Editor für AVI Dateien";kostenlos;<A HREF="http://www.virtualdub.org">www.virtualdub.org</A>;
CSV2XML;XML;"Ein generisches Konvertierungstool von CSV (mit Kopfzeile !) nach XML";kostenlos;<A HREF="http://www.goedeke.net/csv2xml.html">www.goedeke.net/csv2xml.html</A>;
NTE_CONV;XML;"Konvertiert das Lotus Notes "Structured Text" Format nach CSV oder XML";kostenlos;<A HREF="http://www.goedeke.net/nte_conv.html">www.goedeke.net/nte_conv.html</A>;
Saxon;XML;"Ein einfach zu bedienender kostenloser XSLT Prozessor 
(Kommandozeilenversion) von Michael Kay, dem Autor diverser XML Bücher";kostenlos;<A HREF="http://saxon.sourceforge.net">saxon.sourceforge.net</A>;
XML Cooktop;XML;"Ein kostenloser XSLT Editor, mit dem sich auch XML Dokumente editieren, Syntax-Checken und formatieren lassen";kostenlos;<A HREF="http://www.xmlcooktop.com">www.xmlcooktop.com</A>;
XML Spy;XML;"Ein Editor für nahezu alle Markup Sprachen (XML,XSL,XSD, DTD,HTML etc.) 
Ein besonderer Vorteil liegt in den zahlreichen Darstellungsmöglichkeiten und der XSD Validierung. 
Im Test ließen sich selbst 30MegaByte groß XML Dateien editieren. 
XML Spy ist quasi ein all-inclusiv Software Paket für die Arbeit mit XML und Co. 
Die Homeedition ist kostenlos...";kostenlos;<A HREF="http://www.xmlspy.com">www.xmlspy.com</A>;
